City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ust-nera,64.5667,143.2,266.06,92,89,2.39,RU,1712876838
84,atafu village,-8.5421,-172.5159,302.71,76,42,3.69,TK,1712876838
85,badger,64.8,-147.5333,280.36,44,75,5.14,US,1712876718
86,road town,18.4167,-64.6167,300.17,74,75,7.72,VG,1712876838
87,talnakh,69.4865,88.3972,243.26,97,95,3.91,RU,1712876729
88,kapuskasing,49.4169,-82.4331,284.03,83,100,2.25,CA,1712876838
89,zyryanskoye,56.8306,86.6258,265.13,85,94,3.35,RU,1712876838
90,sittwe,20.15,92.9,298.04,60,0,2.4,MM,1712876838
91,cooper's town,26.8667,-77.5167,297.2,89,100,10.56,BS,1712876839
92,borogontsy,62.6683,131.1683,265.94,95,100,4.26,RU,1712876556
93,petropavlovsk-kamchatsky,53.0452,158.6483,276.48,38,0,5.0,RU,1712876638
94,bilibino,68.0546,166.4372,261.15,81,100,1.41,RU,1712876715
95,port lincoln,-34.7333,135.8667,288.08,61,100,3.67,AU,1712876765
96,mount darwin,-16.7725,31.5838,290.5,88,100,2.28,ZW,1712876839
97,tura,25.5198,90.2201,296.43,40,80,1.5,IN,1712876839
98,college,64.8569,-147.8028,280.97,42,100,1.34,US,1712876619
99,kidal,18.4411,1.4078,303.93,10,87,6.36,ML,1712876782
100,dudinka,69.4058,86.1778,243.53,100,85,3.58,RU,1712876840
101,polyarnyy,69.1989,33.4478,272.66,91,100,11.19,RU,1712876840
102,tralee,52.2704,-9.7026,284.68,98,100,2.09,IE,1712876840
103,madang,-5.2246,145.7966,299.03,88,100,1.61,PG,1712876840
104,san marcos,33.1434,-117.1661,303.19,63,40,3.6,US,1712876403
105,iskateley,67.6803,53.1512,274.83,100,100,7.6,RU,1712876840
106,coahuayana de hidalgo,18.7,-103.6583,301.61,51,3,2.73,MX,1712876841
107,port elizabeth,-33.918,25.5701,288.2,81,7,1.79,ZA,1712876841
108,yingkou,40.6648,122.2283,284.31,70,48,6.87,CN,1712876841
109,olonkinbyen,70.9221,-8.7187,264.76,89,100,7.21,SJ,1712876841
110,mendefera,14.8872,38.8153,294.29,42,8,0.44,ER,1712876841
111,pithoragarh,29.5833,80.2167,281.89,39,6,1.59,IN,1712876841
112,guerrero negro,27.9769,-114.0611,296.06,43,73,5.2,MX,1712876679
113,whakatane,-37.9585,176.9854,293.58,97,100,4.47,NZ,1712876842
114,nar'yan-mar,67.6713,53.087,274.88,100,100,7.6,RU,1712876842
115,rio grande,-32.035,-52.0986,293.21,60,100,6.62,BR,1712876763
116,papatowai,-46.5619,169.4708,281.27,81,100,2.11,NZ,1712876842
117,olds,51.7834,-114.102,282.61,46,100,5.68,CA,1712876842
118,tofol,5.3248,163.0078,301.03,83,100,4.63,FM,1712876616
119,aasiaat,68.7098,-52.8699,266.39,93,99,2.16,GL,1712876842
120,gadzhiyevo,69.2551,33.3362,272.72,91,100,11.29,RU,1712876726
121,lowell,42.6334,-71.3162,283.6,83,100,3.6,US,1712876843
122,jales,-20.2689,-50.5458,298.16,77,86,0.87,BR,1712876674
123,yellapur,14.9667,74.7167,294.49,78,32,0.72,IN,1712876843
124,yigo village,13.5361,144.8886,301.77,80,40,6.17,GU,1712876843
125,dwarka,22.2394,68.9678,297.92,85,43,3.62,IN,1712876843
126,bredasdorp,-34.5322,20.0403,286.67,72,4,3.79,ZA,1712876843
127,batang,-6.4846,110.7083,299.06,87,100,1.59,ID,1712876843
128,wailua homesteads,22.0669,-159.378,300.39,84,0,2.06,US,1712876844
129,constantia,44.1833,28.65,289.65,59,26,3.09,RO,1712876603
130,palikir - national government center,6.9248,158.1611,301.56,79,100,1.54,FM,1712876844
